category_slug,title,video_id,vimeo_link,thumbnail_url
hiit56-max-cardio,Hiit56 | Max Cardio | #6 | with William | No Demos No Talking,821754541,https://vimeo.com/821754541/3dba738ced,https://i.vimeocdn.com/video/1662142089-8f0bcb47a9b05df05f8fce21f453fc626e52d504859c344427814d6b5e9f233e-d_295x166?region=us
hiit56-max-cardio,Hiit56 | Max Cardio | #6 | with William,820700119,https://vimeo.com/820700119/73626d825d,https://i.vimeocdn.com/video/1660536872-20607af43c2e29e98dcc980a65ba7c739a5e8d6686f9c98ea37996af2b5b3999-d_295x166?region=us
hiit56-total,Hiit56 | Total Body | #7 | Upper Blast #1 | with William,817315241,https://vimeo.com/817315241/ac93c20d03,https://i.vimeocdn.com/video/1654846868-b429515d5b863c6db2b494b8024680a46a6e9c770eef44680fd9563c1a177a14-d_295x166?region=us
hiit56-total,Hiit56 | Total Body | #6 | Booty Blast Edition #1 | with William,810933814,https://vimeo.com/810933814/ecb41ac71e,https://i.vimeocdn.com/video/1639062407-facd39890c9d9f7992cfb14663b9dbccf4e7e9d26579fa1aad5e2dab1c5da640-d_295x166?region=us
hiit56-max-cardio,Hiit56 | Max Cardio| #5 | with Susie Q | 11-23-22,774363206,https://vimeo.com/774363206/59793e9bdb,https://i.vimeocdn.com/video/1553696179-08144afbef795f486ff9ab7eb7122b99e44773a4ab4876f3630415ccd6cbf6ea-d_295x166?region=us
rock-workout-challenge,The Rock Workout Challenge | Day 6 | Chest,759516695,https://vimeo.com/759516695/64fb8875b7,https://i.vimeocdn.com/video/1525486812-865bf7e8db8c8d4d844c15f2662340207e39db55c0a9559858dbea53485f53ec-d_295x166?region=us
rock-workout-challenge,The Rock Workout Challenge | Day 5 | Legs,758939389,https://vimeo.com/758939389/a7f01cf47c,https://i.vimeocdn.com/video/1524416505-242fbc98bf8a5032eda951ad4dd216e8a2bd1604a2c4d90f7b12b79575f66ff7-d_295x166?region=us
rock-workout-challenge,The Rock Workout Challenge | Day 4 | Arms & Abs,758552561,https://vimeo.com/758552561/035f39babb,https://i.vimeocdn.com/video/1523679823-94e745165dc085fb064c763a499c1b63af308f34d7b4055965fccb805872ec2b-d_295x166?region=us
rock-workout-challenge,The Rock Workout Challenge | Day 3 | Shoulders,758344454,https://vimeo.com/758344454/35ea5d7611,https://i.vimeocdn.com/video/1523162272-5b455644403863a1b564afdb00c55af011d93ebddf9f0ef418bd7cb5793d9df3-d_295x166?region=us
rock-workout-challenge,The Rock Workout Challenge | Day 2 | Back,758180864,https://vimeo.com/758180864/3d0600b2a5,https://i.vimeocdn.com/video/1522781017-344a757d51d6af2d46e2579d25194e10c238dfcdb00b44911aedd022b344174f-d_295x166?region=us
rock-workout-challenge,The Rock Workout Challenge | Day 1 | Legs,757784810,https://vimeo.com/757784810,https://i.vimeocdn.com/video/1522005391-258fef5c57bb74b22d3b60ce73e32e9f4ae8467d1e318ca284fc1c882e6d42bf-d_295x166?region=us
hiit56-max-cardio,Hiit56 | Max Cardio | #4 | with William | 9-24-22,753426001,https://vimeo.com/753426001,https://i.vimeocdn.com/video/1514386425-f1f4f1bd19fed2dba5d444f443655056a47a1b8ad080537dc989b85483503928-d_295x166?region=us
hiit56-total,Hiit56 | Total Body | 5 | with Susie Q | 9-15-22,750058905,https://vimeo.com/750058905/8e02f8299f,https://i.vimeocdn.com/video/1508117483-26c2b740284c6e478c94c68b08df3ec47b69441cbb29682a82aec5af86f38730-d_295x166?region=us
hiit56-upper,Hiit56 | Upper Body | 4 | with William | 9-14-22,749715324,https://vimeo.com/749715324/975b7e3653,https://i.vimeocdn.com/video/1507501212-f3469b6157d06da745c9009ed764a9006feec050b7a2f463cccb91582d8f5f6c-d_295x166?region=us
hiit56-total,Hiit56 | Total Body | 4 | with William | 8-24-22,742880276,https://vimeo.com/742880276,https://i.vimeocdn.com/video/1494582902-b5eb11c7cda582cc487ca3486f57cee9a9512e673bc80ae60239839cbb8f35bc-d_295x166?region=us
hiit56-max-cardio,Hiit56 | MAX Cardio | #3 | with William | 8-18-22,740668411,https://vimeo.com/740668411/a132e15056,https://i.vimeocdn.com/video/1490441043-9a0302a1d2b3b2ed76f94d8c1e1b5a539aa6f1099015685776f949f774d1d856-d_295x166?region=us
