title,video_id,vimeo_link,category,final_category,final_category_slug,was_overridden,was_folded_archives
Hiit56 | Max Cardio | #6 | with William | No Demos No Talking,821754541,https://vimeo.com/821754541/3dba738ced,Max Cardio HIIT,Max Cardio HIIT,max-cardio-hiit,False,False
Hiit56 | Max Cardio | #6 | with William,820700119,https://vimeo.com/820700119/73626d825d,Max Cardio HIIT,Max Cardio HIIT,max-cardio-hiit,False,False
Hiit56 | Total Body | #7 | Upper Blast #1 | with William,817315241,https://vimeo.com/817315241/ac93c20d03,HIIT Total Body,HIIT Total Body,hiit-total-body,False,False
Hiit56 | Total Body | #6 | Booty Blast Edition #1 | with William,810933814,https://vimeo.com/810933814/ecb41ac71e,HIIT Total Body,HIIT Total Body,hiit-total-body,False,False
Hiit56 | Max Cardio| #5 | with Susie Q | 11-23-22,774363206,https://vimeo.com/774363206/59793e9bdb,Max Cardio HIIT,Max Cardio HIIT,max-cardio-hiit,False,False
The Rock Workout Challenge | Day 6 | Chest,759516695,https://vimeo.com/759516695/64fb8875b7,Challenges,Challenges,challenges,False,False
The Rock Workout Challenge | Day 5 | Legs,758939389,https://vimeo.com/758939389/a7f01cf47c,Challenges,Challenges,challenges,False,False
The Rock Workout Challenge | Day 4 | Arms & Abs,758552561,https://vimeo.com/758552561/035f39babb,Challenges,Challenges,challenges,False,False
The Rock Workout Challenge | Day 3 | Shoulders,758344454,https://vimeo.com/758344454/35ea5d7611,Challenges,Challenges,challenges,False,False
The Rock Workout Challenge | Day 2 | Back,758180864,https://vimeo.com/758180864/3d0600b2a5,Challenges,Challenges,challenges,False,False
The Rock Workout Challenge | Day 1 | Legs,757784810,https://vimeo.com/757784810,Challenges,Challenges,challenges,False,False
Hiit56 | Max Cardio | #4 | with William | 9-24-22,753426001,https://vimeo.com/753426001,Max Cardio HIIT,Max Cardio HIIT,max-cardio-hiit,False,False
Hiit56 | Total Body | 5 | with Susie Q | 9-15-22,750058905,https://vimeo.com/750058905/8e02f8299f,HIIT Total Body,HIIT Total Body,hiit-total-body,False,False
Hiit56 | Upper Body | 4 | with William | 9-14-22,749715324,https://vimeo.com/749715324/975b7e3653,HIIT Upper Body,HIIT Upper Body,hiit-upper-body,False,False
Hiit56 | Total Body | 4 | with William | 8-24-22,742880276,https://vimeo.com/742880276,HIIT Total Body,HIIT Total Body,hiit-total-body,False,False
Hiit56 | MAX Cardio | #3 | with William | 8-18-22,740668411,https://vimeo.com/740668411/a132e15056,Max Cardio HIIT,Max Cardio HIIT,max-cardio-hiit,False,False
Hiit56 | Lower Body | #4| with William | 8-8-22,737740659,https://vimeo.com/737740659/f2bfa59643,HIIT Lower Body,HIIT Lower Body,hiit-lower-body,False,False
Hiit56 | Upper Body | #3 | with William | 8-4-22,736707414,https://vimeo.com/736707414/dd4374340f,HIIT Upper Body,HIIT Upper Body,hiit-upper-body,False,False
Hiit56 | Total Body | #3 | with William | 7-26-22,733740925,https://vimeo.com/733740925/f423beb90f,HIIT Total Body,HIIT Total Body,hiit-total-body,False,False
Hiit56 | Lower Body | #3 | with William | 07-21-22,732260751,https://vimeo.com/732260751/c2cc643170,HIIT Lower Body,HIIT Lower Body,hiit-lower-body,False,False
Hiit56 | Upper Body | #2 | with William | 6-23-22,723619305,https://vimeo.com/723619305/e74e1f666e,HIIT Upper Body,HIIT Upper Body,hiit-upper-body,False,False
Hiit56 | MAX Cardio | #2 | with William | 6-21-22,722800225,https://vimeo.com/722800225,Max Cardio HIIT,Max Cardio HIIT,max-cardio-hiit,False,False
Hiit56 | Lower Body | #2 | with William | 06-20-22,722360087,https://vimeo.com/722360087/f02d58a167,HIIT Lower Body,HIIT Lower Body,hiit-lower-body,False,False
Hiit56 | Total Body | #2 | with William | 06-16-22,721059419,https://vimeo.com/721059419/50b2699cb5,HIIT Total Body,HIIT Total Body,hiit-total-body,False,False
Hiit56 | Upper Body | #1 | with William | 06-14-22,720479886,https://vimeo.com/720479886/d19d8e404d,HIIT Upper Body,HIIT Upper Body,hiit-upper-body,False,False
Hiit56 | MAX Cardio | #1 | with William | 6-10-22,719222766,https://vimeo.com/719222766,Max Cardio HIIT,Max Cardio HIIT,max-cardio-hiit,False,False
Hiit56 | Lower Body | #1 | with William | 6-9-22,718548518,https://vimeo.com/718548518/503ae532aa,HIIT Lower Body,HIIT Lower Body,hiit-lower-body,False,False
Hiit56 | Total Body | #1 | with William | 6-6-22,717565113,https://vimeo.com/717565113/94b2e6a52b,HIIT Total Body,HIIT Total Body,hiit-total-body,False,False
Hiit56 | Upper Body | with Susie Q | 5-26-22,714164378,https://vimeo.com/714164378/2a231a51c7,HIIT Upper Body,HIIT Upper Body,hiit-upper-body,False,False
HIIT56 | Lower Body | with Abbie | 5-20-22,712150494,https://vimeo.com/712150494/bb53e0b6d4,HIIT Lower Body,HIIT Lower Body,hiit-lower-body,False,False
Hiit56 | Upper Body | with Susie Q | 5-12-22,709139419,https://vimeo.com/709139419/7effda3d97,HIIT Upper Body,HIIT Upper Body,hiit-upper-body,False,False
Hiit56 | Lower Body | with Abbie | 5-5-22,706620485,https://vimeo.com/706620485,HIIT Lower Body,HIIT Lower Body,hiit-lower-body,False,False
Hiit56 | Total Body | with Abbie | 4-28-22,703961458,https://vimeo.com/703961458/9a7f8fa2f2,HIIT Total Body,HIIT Total Body,hiit-total-body,False,False
Hiit56 | Upper Body | with Susie Q | 4-22-22,702021658,https://vimeo.com/702021658/366ec75376,HIIT Upper Body,HIIT Upper Body,hiit-upper-body,False,False
Hiit56 | Total Body | SEASON FINALE WEEK | with Abbie | 11-11-21,645006496,https://vimeo.com/645006496/ef3a3f6b2b,HIIT Total Body,HIIT Total Body,hiit-total-body,False,False
Hiit56 | Upper Body | SEASON FINALE WEEK | with Susie Q | 11-9-21,644116652,https://vimeo.com/644116652,HIIT Upper Body,HIIT Upper Body,hiit-upper-body,False,False
